school_id,short_name,long_name,primary_category,is_high_school,is_middle_school,is_elementary_school,is_pre_school,grades_offered_all,grades_offered,student_count_total,student_count_low_income,student_count_special_ed,student_count_english_learners,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,student_count_other_ethnicity,student_count_asian_pacific_islander,student_count_multi,student_count_hawaiian_pacific_islander,student_count_ethnicity_not_available,title_1_eligible,preschool_inclusive,preschool_instructional,significantly_modified,hard_of_hearing,visual_impairments,transportation_bus,transportation_el,transportation_metra,average_act_school,mean_act,college_enrollment_rate_school,college_enrollment_rate_mean,graduation_rate_school,graduation_rate_mean,overall_rating,rating_status,school_year,network,is_gocps_participant,is_gocps_prek,is_gocps_elementary,is_gocps_high_school,open_for_enrollment_date,closed_for_enrollment_date,school_latitude,school_longitude,zip,multisensory,transition,year_start,pct_low_income,pct_special_ed,pct_english_learners,pct_black,pct_hispanic,pct_white,pct_asian,high_risk
610521,DAVIS M,Sir Miles Davis Magnet Elementary Academy,ES,N,Y,Y,N,"K,1,2,3,4,5,6,7,8",K-8,237,227,45,10,216,20,0,0,0,0,0.0,1,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,9,Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 1,GOOD STANDING,2017-18,Network 11,Y,N,Y,N,2008-07-01T00:00:00.000,Unknown,41.771221,-87.66653,60626.0,Unknown,Unknown,2017.0,95.78059071729957,18.9873417721519,4.219409282700422,91.13924050632912,8.438818565400844,0.0,0.0,1
609750,SIMPSON HS,Simpson Academy HS for Young Women,HS,Y,Y,Y,N,"6,7,8,9,10,11,12",6-12,34,25,3,3,25,9,0,0,0,0,0.0,0,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Pink,Unknown,,,33.3,59.8,23.1,77.5,Level 2+,GOOD STANDING,2017-18,Network 15,N,N,N,N,2004-09-01T00:00:00.000,Unknown,41.864365,-87.668722,60626.0,Unknown,Unknown,2017.0,73.52941176470588,8.823529411764707,8.823529411764707,73.52941176470588,26.47058823529412,0.0,0.0,1
610386,PEACE AND EDUCATION HS,Peace & Education Coalition HS,HS,Y,N,N,N,"10,11,12",10-12,94,58,16,13,29,62,2,0,0,0,0.0,1,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,17.8,59.8,81.1,78.9,Level 1+,GOOD STANDING,2017-18,ISP,N,N,N,N,2004-09-01T00:00:00.000,Unknown,41.803515,-87.667378,60626.0,Unknown,Unknown,2017.0,61.702127659574465,17.02127659574468,13.829787234042554,30.851063829787233,65.95744680851064,2.127659574468085,0.0,1
400123,YCCS - SCHOLASTIC ACHIEVEMENT,YCCS- Academy of Scholastic Achievement HS,HS,Y,N,N,N,"9,10,11,12",9-12,172,77,33,1,165,6,0,0,1,0,0.0,0,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"20, 54",Green,Unknown,,,10.9,59.8,81.1,78.9,Level 2+,NOT APPLICABLE,2017-18,Options,N,N,N,N,2012-07-01T00:00:00.000,Unknown,41.880447,-87.742539,60626.0,Unknown,Unknown,2017.0,44.76744186046512,19.186046511627907,0.5813953488372093,95.93023255813954,3.488372093023256,0.0,0.0,1
400116,MONTESSORI ENGLEWOOD,The Montessori School of Englewood Charter,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",333,191,48,2,323,9,1,0,0,0,0.0,0,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 1,NOT APPLICABLE,2017-18,Charter,N,N,N,N,2012-07-01T00:00:00.000,Unknown,41.774572,-87.676147,60626.0,Unknown,Unknown,2017.0,57.35735735735735,14.414414414414415,0.6006006006006006,96.996996996997,2.7027027027027026,0.3003003003003003,0.0,1
610200,THORP J,James N Thorp Elementary School,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",310,241,96,48,236,66,6,0,0,0,0.0,2,0.0,0.0,Y,Unknown,Y,Y,Unknown,Unknown,"5, 26, 71, 87",Unknown,Metra Electric District (ME),,,59.75,67.2,81.1,78.9,Level 2,INTENSIVE SUPPORT,2017-18,Network 12,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.733324,-87.54428,60626.0,Unknown,Unknown,2017.0,77.74193548387098,30.967741935483872,15.483870967741936,76.12903225806451,21.29032258064516,1.935483870967742,0.0,1
610089,MURPHY,John B Murphy Elementary School,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",544,325,79,183,17,397,95,15,2,0,0.0,17,1.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"82, 152",Blue,Unknown,,,59.75,67.2,81.1,78.9,Level 1,GOOD STANDING,2017-18,Network 1,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.950078,-87.716832,60626.0,Unknown,Unknown,2017.0,59.74264705882353,14.522058823529413,33.63970588235294,3.125,72.97794117647058,17.463235294117645,2.7573529411764706,1
609895,TURNER-DREW,Turner-Drew Elementary Language Academy,ES,N,Y,Y,N,"K,1,2,3,4,5,6,7,8",K-8,212,145,31,0,209,2,0,0,0,0,0.0,0,0.0,1.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"95W, 108, 112, 352, 381",Red,Unknown,,,59.75,67.2,81.1,78.9,Level 1+,GOOD STANDING,2017-18,Network 11,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.725609,-87.630164,60626.0,Unknown,Unknown,2017.0,68.39622641509435,14.622641509433961,0.0,98.58490566037736,0.9433962264150944,0.0,0.0,1
610580,BRIDGESCAPE - HUMBOLDT PARK HS,Bridgescape Academy Humboldt Park,HS,Y,N,N,N,"9,10,11,12",9-12,101,72,18,10,38,54,6,2,1,0,0.0,0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,9.3,59.8,81.1,78.9,Level 2+,NOT APPLICABLE,2017-18,Options,N,N,N,N,2014-07-01T00:00:00.000,Unknown,41.902925,-87.687889,60626.0,Unknown,Unknown,2017.0,71.28712871287128,17.82178217821782,9.900990099009901,37.62376237623762,53.46534653465347,5.9405940594059405,1.9801980198019802,1
609960,HALE,Nathan Hale Elementary School,ES,N,Y,Y,N,"K,1,2,3,4,5,6,7,8",K-8,899,575,121,139,15,668,204,8,2,0,0.0,1,1.0,0.0,Y,Y,Unknown,Unknown,Unknown,Unknown,"55A, 63W",Orange,Unknown,,,59.75,67.2,81.1,78.9,Level 1+,GOOD STANDING,2017-18,Network 10,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.780192,-87.776579,60626.0,Unknown,Unknown,2017.0,63.95995550611791,13.459399332591767,15.461624026696331,1.668520578420467,74.3047830923248,22.691879866518352,0.8898776418242491,1
